Id,SalePrice
1461,123260.74
1462,145254.39
1463,199901.53
1464,197864.31
1465,184752.9
1466,202020.22
1467,161110.9
1468,186537.42
1469,162295.83
1470,122119.9
1471,189397.75
1472,133448.92
1473,125941.64
1474,185804.03
1475,118371.43
1476,257350.88
1477,190202.28
1478,202751.5
1479,212856.06
1480,286849.7
1481,250505.84
1482,192086.86
1483,172274.83
1484,173751.97
1485,179121.98
1486,208376.33
1487,252777.17
1488,210421.77
1489,179700.62
1490,200072.73
1491,202346.19
1492,132713.4
1493,186127.86
1494,242509.62
1495,232405.06
1496,201702.5
1497,220121.02
1498,181006.56
1499,181006.56
1500,183940.14
1501,206430.95
1502,171227.95
1503,184634.0
1504,217747.5
1505,185964.88
1506,197362.9
1507,254406.94
1508,248679.38
1509,157713.89
1510,137350.02
1511,132703.05
1512,187431.67
1513,209026.11
1514,157005.44
1515,264927.2
1516,191180.14
1517,142166.06
1518,179028.02
1519,184987.02
1520,127324.81
1521,132458.58
1522,165707.98
1523,143133.58
1524,136950.8
1525,113390.29
1526,130757.68
1527,130513.21
1528,133925.38
1529,132705.17
1530,163923.47
1531,184448.2
1532,126520.28
1533,143948.45
1534,136125.56
1535,167254.14
1536,135636.64
1537,118045.48
1538,191995.03
1539,279400.5
1540,232158.47
1541,172807.83
1542,168315.62
1543,205474.34
1544,112585.75
1545,142492.02
1546,134416.44
1547,155358.95
1548,152343.89
1549,134995.08
1550,173486.8
1551,137276.75
1552,180773.0
1553,164078.22
1554,142074.22
1555,200877.27
1556,136698.11
1557,147615.44
1558,109071.41
1559,174416.9
1560,217348.28
1561,197607.38
1562,106871.22
1563,120653.11
1564,146067.16
1565,138236.05
1566,189930.75
1567,111852.36
1568,212521.89
1569,179516.94
1570,121702.12
1571,158942.33
1572,129687.98
1573,189195.23
1574,170156.12
1575,185856.33
1576,213999.03
1577,180026.58
1578,182134.92
1579,128883.44
1580,205035.3
1581,120563.4
1582,105567.4
1583,228341.0
1584,222056.03
1585,135412.88
1586,102399.7
1587,115020.06
1588,131643.7
1589,141514.16
1590,123494.86
1591,112412.43
1592,186056.72
1593,120001.2
1594,262338.38
1595,169943.27
1596,194707.52
1597,212430.05
1598,201775.77
1599,150569.72
1600,177500.44
1601,110314.43
1602,140454.8
1603,111760.52
1604,214577.67
1605,223288.7
1606,169096.78
1607,229345.92
1608,174067.56
1609,179374.67
1610,184826.17
1611,153248.48
1612,180912.6
1613,173904.6
1614,127253.68
1615,125941.64
1616,125941.64
1617,125941.64
1618,105404.42
1619,118126.97
1620,312447.12
1621,140772.53
1622,152778.39
1623,214080.52
1624,213591.6
1625,122119.9
1626,165174.98
1627,198190.27
1628,237131.39
1629,199820.03
1630,302025.1
1631,200887.61
1632,221748.66
1633,179773.89
1634,200471.95
1635,190693.33
1636,161355.38
1637,224755.5
1638,218144.6
1639,200551.31
1640,268911.88
1641,203484.89
1642,220681.08
1643,219866.19
1644,214732.42
1645,196476.89
1646,155325.23
1647,161599.84
1648,149176.19
1649,122519.125
1650,104589.54
1651,104589.54
1652,133448.92
1653,133448.92
1654,193300.97
1655,166418.0
1656,185804.03
1657,193300.97
1658,185804.03
1659,118371.43
1660,125450.58
1661,307179.84
1662,286360.75
1663,228990.77
1664,301120.5
1665,205848.06
1666,209596.53
1667,240380.58
1668,206418.48
1669,205206.5
1670,211715.22
1671,207803.78
1672,264193.78
1673,276866.16
1674,195254.56
1675,191109.0
1676,202935.17
1677,191109.0
1678,286289.62
1679,246431.42
1680,233971.92
1681,199094.86
1682,203892.33
1683,194938.95
1684,185804.03
1685,188574.64
1686,179863.6
1687,179121.98
1688,199983.02
1689,197049.44
1690,188493.14
1691,176514.34
1692,214396.12
1693,179121.98
1694,190530.36
1695,183685.33
1696,239494.56
1697,183685.33
1698,270052.72
1699,232494.78
1700,235104.53
1701,249039.06
1702,202588.52
1703,202264.69
1704,203077.45
1705,181075.58
1706,283353.9
1707,181401.53
1708,178630.92
1709,189061.44
1710,198442.95
1711,213428.61
1712,213996.9
1713,199817.92
1714,190935.67
1715,201857.25
1716,136209.17
1717,129934.57
1718,131319.88
1719,214813.9
1720,187594.66
1721,127734.38
1722,127734.38
1723,155162.25
1724,198605.94
1725,224011.75
1726,208131.86
1727,188990.3
1728,192649.06
1729,181240.67
1730,201681.8
1731,114042.2
1732,104589.54
1733,120653.11
1734,147502.34
1735,108500.984
1736,108500.984
1737,244565.4
1738,210169.08
1739,312029.62
1740,223869.48
1741,171432.88
1742,206430.95
1743,185478.08
1744,218489.11
1745,194809.7
1746,254732.89
1747,235593.47
1748,250159.19
1749,173252.69
1750,133273.47
1751,210110.95
1752,120653.11
1753,164730.12
1754,219040.97
1755,171948.88
1756,123097.766
1757,104589.54
1758,145170.78
1759,205196.16
1760,143950.58
1761,142239.33
1762,225478.55
1763,146545.73
1764,128476.0
1765,188044.05
1766,182786.83
1767,208140.08
1768,127406.305
1769,145254.39
1770,144894.72
1771,132132.64
1772,146800.55
1773,131969.66
1774,200377.98
1775,120724.25
1776,140862.25
1777,114867.43
1778,134261.69
1779,151620.84
1780,161389.11
1781,131969.66
1782,114785.945
1783,158492.92
1784,134913.6
1785,122028.06
1786,258082.14
1787,186036.02
1788,99058.67
1789,119186.32
1790,128162.52
1791,229045.47
1792,149410.3
1793,118931.51
1794,127742.61
1795,124228.26
1796,143306.89
1797,126509.93
1798,119012.99
1799,109896.63
1800,130584.35
1801,167375.17
1802,156008.73
1803,168060.8
1804,126927.72
1805,119338.945
1806,146474.6
1807,206734.08
1808,143380.16
1809,183683.2
1810,163915.25
1811,186932.39
1812,152097.3
1813,145172.9
1814,120408.65
1815,116181.6
1816,114785.945
1817,187431.67
1818,227931.42
1819,139140.64
1820,116741.67
1821,154786.42
1822,142063.88
1823,115193.39
1824,150874.97
1825,199166.0
1826,127243.32
1827,131328.1
1828,193298.84
1829,137602.7
1830,208455.69
1831,222797.66
1832,221727.95
1833,205593.23
1834,150467.53
1835,170860.6
1836,169943.27
1837,138998.36
1838,151284.53
1839,107614.95
1840,192370.86
1841,174322.39
1842,138935.7
1843,122682.1
1844,118442.58
1845,192881.05
1846,126917.375
1847,189655.23
1848,104029.47
1849,162945.61
1850,137684.19
1851,170515.81
1852,122924.44
1853,165929.08
1854,155542.64
1855,162051.36
1856,220273.64
1857,182400.64
1858,197749.66
1859,173405.31
1860,125741.24
1861,171612.56
1862,309248.38
1863,309248.38
1864,309248.38
1865,205983.97
1866,204544.25
1867,184009.16
1868,214159.88
1869,185567.78
1870,182634.2
1871,186453.81
1872,183033.42
1873,210495.03
1874,114857.08
1875,183601.72
1876,211554.38
1877,182053.44
1878,185964.88
1879,108093.55
1880,124727.53
1881,195662.0
1882,229064.03
1883,207724.42
1884,219540.25
1885,203739.7
1886,213345.0
1887,179853.25
1888,194928.61
1889,180914.72
1890,127813.74
1891,137602.7
1892,105567.4
1893,145659.72
1894,152931.02
1895,177369.06
1896,139955.52
1897,140283.6
1898,138164.9
1899,134577.28
1900,134251.33
1901,180712.2
1902,153981.88
1903,237121.05
1904,140862.25
1905,191587.58
